start:1742297537.1071 elapsed:0.022270917892456 end:1742297537.1294 memory:1110608 system_usage:0.997336 user_usage:4.64122
start:1742297537.1325 elapsed:0.019322872161865 end:1742297537.1518 memory:1057232 system_usage:1.020218 user_usage:4.435383
start:1742297537.1686 elapsed:0.012797117233276 end:1742297537.1814 memory:654672 system_usage:1.028712 user_usage:3.871973
start:1742297537.1827 elapsed:0.012104988098145 end:1742297537.1948 memory:654600 system_usage:1.023126 user_usage:3.809641
start:1742297537.2006 elapsed:0.047302961349487 end:1742297537.2479 memory:655128 system_usage:1.059826 user_usage:4.360514
start:1742297537.2651 elapsed:0.014849185943604 end:1742297537.2799 memory:545608 system_usage:0.999802 user_usage:4.224291
start:1742297538.9191 elapsed:0.018912792205811 end:1742297538.9381 memory:1112240 system_usage:0.680233 user_usage:2.460228
start:1742297538.9525 elapsed:0.012008905410767 end:1742297538.9645 memory:654600 system_usage:1.002472 user_usage:4.648826
start:1742297538.9652 elapsed:0.01101279258728 end:1742297538.9762 memory:654672 system_usage:1.02498 user_usage:4.442251
start:1742297538.9808 elapsed:0.046558141708374 end:1742297539.0273 memory:655128 system_usage:1.031742 user_usage:3.916205
start:1742297539.0431 elapsed:0.011472940444946 end:1742297539.0546 memory:655408 system_usage:1.026302 user_usage:3.818285
start:1742297541.1495 elapsed:0.44431185722351 end:1742297541.5938 memory:693080 system_usage:1.065915 user_usage:4.402912
start:1742297541.5981 elapsed:0.017565011978149 end:1742297541.6157 memory:1080312 system_usage:1.004652 user_usage:4.237624
start:1742297541.6301 elapsed:0.012032032012939 end:1742297541.6422 memory:654672 system_usage:0.684456 user_usage:2.469037
start:1742297541.6428 elapsed:0.011136770248413 end:1742297541.6539 memory:654600 system_usage:1.006083 user_usage:4.657015
start:1742297541.6588 elapsed:0.046473979949951 end:1742297541.7053 memory:655128 system_usage:1.030968 user_usage:4.484309
start:1742297541.7252 elapsed:0.011335849761963 end:1742297541.7366 memory:545608 system_usage:1.037846 user_usage:3.922537
